Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers,BaseName,FormName
S26370234,Snow Goose,Anser caerulescens,256,1,US-MI,Oakland,L967594,Stony Creek Metropark (Oakland Co.),42.726713,-83.105135,2015-12-19,2023-10-26 13:10:00,eBird - Traveling Count,140.0,1,3.219,,3,,"White goose, smaller than adjacent Canadas with black primaries. Not Ross's goose based on size","Cbc <br />Submitted from eBird for iOS, version 1.1.3 Build 30",,Snow Goose,
S53346228,Greater White-fronted Goose,Anser albifrons,271,1,US-MI,Macomb,L1582233,Stony Creek Metropark--south (Macomb Co.),42.7224105,-83.0819054,2019-02-05,2023-10-26 11:00:00,eBird - Traveling Count,15.0,1,0.322,,1,,In open water by north dam. Multiple sightings by others.,,,Greater White-fronted Goose,
S50995473,Canada Goose,Branta canadensis,324,100,US-MI,Alcona,L8309640,Black River County Park,44.8166915,-83.2987253,2018-12-27,2023-10-26 12:00:00,eBird - Traveling Count,15.0,1,0.161,,1,,,Very windy,,Canada Goose,
S43727153,Canada Goose,Branta canadensis,324,2,US-MI,Alcona,L3258501,Harrisville Harbor,44.6589159,-83.287257,2018-03-17,2023-10-26 13:00:00,eBird - Stationary Count,10.0,1,,,1,,,,,Canada Goose,
S83771809,Canada Goose,Branta canadensis,324,12,US-MI,Alcona,L3258501,Harrisville Harbor,44.6589159,-83.287257,2021-03-20,2023-10-26 10:00:00,eBird - Traveling Count,30.0,1,0.805,,1,,,,,Canada Goose,
S85030282,Canada Goose,Branta canadensis,324,4,US-MI,Alcona,L3258501,Harrisville Harbor,44.6589159,-83.287257,2021-04-07,2023-10-26 11:00:00,eBird - Traveling Count,20.0,1,0.805,,1,,,,,Canada Goose,
S143631558,Canada Goose,Branta canadensis,324,21,US-MI,Alcona,L3258501,Harrisville Harbor,44.6589159,-83.287257,2023-07-05,2023-10-26 07:54:00,eBird - Traveling Count,43.0,1,1.467,,1,,,#NYT,,Canada Goose,
S45880260,Canada Goose,Branta canadensis,324,2,US-MI,Alcona,L772826,Harrisville SP,44.6420327,-83.2979965,2018-05-19,2023-10-26 13:31:00,eBird - Traveling Count,93.0,1,2.49,,4,,,,,Canada Goose,
S83737399,Canada Goose,Branta canadensis,324,2,US-MI,Alcona,L772826,Harrisville SP,44.6420327,-83.2979965,2021-03-20,2023-10-26 10:30:00,eBird - Traveling Count,60.0,1,2.414,,1,,,,,Canada Goose,
S133747074,Canada Goose,Branta canadensis,324,2,US-MI,Alpena,L17669080,Alpena Twp. Nature Preserve,45.0781048,-83.3264159,2023-04-14,2023-10-26 09:30:00,eBird - Traveling Count,150.0,1,4.023,,1,,,,,Canada Goose,
S45784212,Canada Goose,Branta canadensis,324,2,CA-ON,Essex,L713871,Point Pelee NP--Tilden's Woods,41.9354075,-82.5108647,2018-05-14,2023-10-26 07:40:00,eBird - Traveling Count,70.0,0,0.644,,8,,,,,Canada Goose,
S45784266,Canada Goose,Branta canadensis,324,2,CA-ON,Essex,L713871,Point Pelee NP--Tilden's Woods,41.9354075,-82.5108647,2018-05-14,2023-10-26 12:45:00,eBird - Traveling Count,150.0,0,0.805,,8,,,,,Canada Goose,
S29846380,Canada Goose,Branta canadensis,324,20,US-MI,Iosco,L1208455,Iargo Springs Interpretive Site,44.44131,-83.67534,2016-05-20,2023-10-26 13:30:00,eBird - Traveling Count,50.0,1,0.805,,2,,,"<br />Submitted from eBird for iOS, version 1.2.0 Build 62",,Canada Goose,
