Common Name,Date
Alder Flycatcher,2016-05-25
American Bittern,2017-04-14
American Black Duck,2014-12-14
American Coot,2015-04-21
American Crow,2015-01-14
American Goldfinch,2014-12-14
American Kestrel,2015-09-30
American Pipit,2015-11-25
American Redstart,2015-07-08
American Robin,2015-02-08
American Tree Sparrow,2014-12-14
American White Pelican,2017-08-21
American Wigeon,2015-10-10
American Woodcock,2016-05-14
Baird's Sandpiper,2021-08-23
Bald Eagle,2015-04-21
Baltimore Oriole,2015-06-03
Bank Swallow,2015-04-25
Barn Swallow,2015-04-25
Barred Owl,2015-12-18
Bay-breasted Warbler,2015-09-16
Belted Kingfisher,2015-04-15
Black Tern,2021-05-15
Black-and-white Warbler,2016-05-11
Black-bellied Plover,2018-05-17
Black-billed Cuckoo,2017-06-28
Black-capped Chickadee,2014-12-14
Black-throated Blue Warbler,2015-10-10
Black-throated Green Warbler,2015-05-06
Blackburnian Warbler,2015-09-16
Blackpoll Warbler,2016-05-14
Blue Jay,2015-01-14
Blue-gray Gnatcatcher,2015-04-29
Blue-headed Vireo,2015-10-07
Blue-winged Teal,2015-04-25
Blue-winged Warbler,2015-06-10
Bobolink,2021-05-14
Bonaparte's Gull,2015-04-25
Broad-winged Hawk,2021-09-29
Brown Creeper,2015-01-28
Brown Thrasher,2015-04-22
Brown-headed Cowbird,2015-04-15
Bufflehead,2014-12-14
Canada Goose,2014-12-14
Canada Warbler,2016-05-14
Canvasback,2014-12-14
Cape May Warbler,2016-05-14
Carolina Wren,2015-01-28
Cedar Waxwing,2015-06-03
Cerulean Warbler,2016-05-30
Chestnut-sided Warbler,2015-05-06
Chimney Swift,2015-06-03
Chipping Sparrow,2015-04-15
Clay-colored Sparrow,2016-05-19
Cliff Swallow,2017-08-21
Common Goldeneye,2015-12-19
Common Grackle,2015-04-15
Common Loon,2015-04-22
Common Merganser,2014-12-14
Common Nighthawk,2016-05-14
Common Raven,2018-09-01
Common Tern,2016-05-20
Common Yellowthroat,2015-05-06
Cooper's Hawk,2015-04-22
Dark-eyed Junco,2015-01-28
Double-crested Cormorant,2015-10-18
Downy Woodpecker,2014-12-14
Dunlin,2016-05-14
Eastern Bluebird,2015-04-22
Eastern Kingbird,2015-05-27
Eastern Meadowlark,2015-06-24
Eastern Phoebe,2015-04-15
Eastern Screech-Owl,2015-12-18
Eastern Towhee,2015-04-21
Eastern Whip-poor-will,2016-05-14
Eastern Wood-Pewee,2015-05-27
European Starling,2014-12-14
Field Sparrow,2015-04-08
Forster's Tern,2017-04-14
Fox Sparrow,2015-11-04
Gadwall,2015-11-14
Golden-crowned Kinglet,2015-01-14
Golden-winged Warbler,2018-05-20
Grasshopper Sparrow,2021-06-14
Gray Catbird,2015-05-06
Gray-cheeked Thrush,2018-05-14
Great Black-backed Gull,2017-01-01
Great Blue Heron,2015-04-22
Great Crested Flycatcher,2015-08-05
Great Egret,2015-06-06
Great Horned Owl,2015-01-14
Greater Scaup,2014-12-14
Greater White-fronted Goose,2019-02-05
Greater Yellowlegs,2016-05-14
Green Heron,2015-05-06
Green-winged Teal,2016-05-20
Hairy Woodpecker,2015-01-14
Harlequin Duck,2018-05-20
Hermit Thrush,2015-04-15
Herring Gull,2015-11-25
Hooded Merganser,2015-11-14
Hooded Warbler,2016-05-30
Horned Grebe,2015-04-21
Horned Lark,2015-01-05
House Finch,2015-06-24
House Sparrow,2014-12-14
House Wren,2015-06-06
Indigo Bunting,2015-06-03
Killdeer,2015-04-25
Kirtland's Warbler,2016-05-15
Least Bittern,2017-04-14
Least Flycatcher,2016-05-25
Least Sandpiper,2018-05-17
Lesser Scaup,2015-10-03
Lesser Yellowlegs,2015-10-03
Lincoln's Sparrow,2015-10-07
Long-tailed Duck,2018-01-28
Magnolia Warbler,2016-05-14
Mallard,2014-12-14
Marsh Wren,2016-05-14
Merlin,2023-05-10
Mourning Dove,2015-01-14
Mourning Warbler,2016-05-30
Mute Swan,2014-12-14
Nashville Warbler,2015-05-06
Northern Cardinal,2014-12-14
Northern Flicker,2015-04-15
Northern Harrier,2018-09-01
Northern Parula,2016-05-11
Northern Rough-winged Swallow,2015-04-25
Northern Shoveler,2015-04-21
Northern Shrike,2020-10-24
Northern Waterthrush,2018-05-14
Olive-sided Flycatcher,2016-09-07
Orange-crowned Warbler,2015-10-10
Orchard Oriole,2015-06-03
Ovenbird,2015-05-29
Palm Warbler,2015-05-06
Pectoral Sandpiper,2017-08-21
Philadelphia Vireo,2016-05-19
Pied-billed Grebe,2015-04-15
Pileated Woodpecker,2015-10-07
Pine Siskin,2015-10-07
Pine Warbler,2015-04-22
Piping Plover,2023-06-23
Prothonotary Warbler,2016-05-14
Purple Finch,2023-09-10
Purple Martin,2016-05-19
Red-bellied Woodpecker,2015-01-21
Red-breasted Merganser,2017-04-08
Red-breasted Nuthatch,2015-09-16
Red-eyed Vireo,2015-05-29
Red-headed Woodpecker,2016-05-20
Red-shouldered Hawk,2022-03-02
Red-tailed Hawk,2014-12-14
Red-winged Blackbird,2015-03-18
